VALUE	BOUNCE_RATE	FREQUENCY	TIMER
3410	0.562937	426014	FCP
3000	0.557386	535756	FCP
5060	0.579417	158197	FCP
6650	0.596195	70643	FCP
12850	0.61132	10124	FCP
19850	0.626084	2883	FCP
26860	0.647708	1178	FCP
26760	0.664966	1176	FCP
20850	0.634404	2459	FCP
20640	0.652546	2691	FCP
17870	0.623363	3818	FCP
27040	0.655574	1202	FCP
22310	0.619026	2218	FCP
28780	0.652174	966	FCP
9840	0.608631	20740	FCP
13920	0.613478	7746	FCP
21620	0.650347	2308	FCP
23150	0.622748	1943	FCP
510	0.606403	579064	FCP
6580	0.59203	72498	FCP
14160	0.62259	7313	FCP
12120	0.604228	11542	FCP
16380	0.623075	4741	FCP
14460	0.62268	6949	FCP
23920	0.63316	1731	FCP
18600	0.619305	3512	FCP
25870	0.62757	1313	FCP
28220	0.668464	1113	FCP
1740	0.533284	969043	FCP
9900	0.606549	20676	FCP
8510	0.604726	33430	FCP
12820	0.616079	10088	FCP
14790	0.612133	6412	FCP
23050	0.626353	2125	FCP
8610	0.608388	32093	FCP
12590	0.60501	10618	FCP
28770	0.631088	965	FCP
20630	0.671816	2654	FCP
4130	0.574389	278315	FCP
4440	0.576823	228616	FCP
5960	0.587623	96875	FCP
7810	0.598089	43226	FCP
16490	0.629078	4629	FCP
26740	0.650041	1223	FCP
28330	0.652256	1064	FCP
8320	0.602921	35401	FCP
3600	0.565603	381340	FCP
7180	0.598591	56070	FCP
11060	0.607397	15196	FCP
14540	0.61711	6686	FCP
17880	0.621673	3682	FCP
20820	0.644409	2531	FCP
17920	0.64933	3730	FCP
19560	0.632571	2972	FCP
23630	0.649003	1755	FCP
6330	0.590879	81526	FCP
1800	0.535276	951513	FCP
370	0.641806	400425	FCP
4600	0.579496	209130	FCP
3080	0.557895	515271	FCP
13280	0.617666	9136	FCP
9060	0.605443	27081	FCP
11820	0.610268	12719	FCP
120	0.706733	42787	FCP
15800	0.62696	5230	FCP
13750	0.63267	8344	FCP
8690	0.598873	31055	FCP
21710	0.622609	2300	FCP
29630	0.675079	951	FCP
24020	0.628064	1632	FCP
5530	0.585984	122116	FCP
310	0.659098	316622	FCP
1970	0.537003	892977	FCP
9450	0.609088	23591	FCP
11760	0.602767	13229	FCP
8090	0.602994	38808	FCP
12490	0.612194	10923	FCP
15270	0.618785	5973	FCP
23100	0.635996	1978	FCP
17950	0.631635	3749	FCP
15450	0.617018	5653	FCP
17030	0.628545	4372	FCP
29050	0.665319	989	FCP
29700	0.686705	865	FCP
27460	0.646194	1156	FCP
5270	0.580599	140522	FCP
5250	0.583062	141484	FCP
4910	0.5813	172596	FCP
14650	0.623556	6580	FCP
6560	0.594012	73453	FCP
4480	0.577587	223040	FCP
9960	0.60637	20156	FCP
10740	0.610565	16280	FCP
15680	0.631849	5457	FCP
11410	0.604902	14075	FCP
21660	0.627257	2326	FCP
16290	0.632438	4840	FCP
19760	0.644681	2820	FCP
18040	0.632373	3645	FCP
28830	0.652901	1017	FCP
6230	0.589468	85589	FCP
11620	0.60574	13136	FCP
12070	0.606427	11919	FCP
27880	0.617295	1087	FCP
1120	0.527152	1049655	FCP
10100	0.61432	19441	FCP
19070	0.637986	3138	FCP
18870	0.64636	3283	FCP
18080	0.637324	3692	FCP
2730	0.552528	622144	FCP
23310	0.646806	1863	FCP
1040	0.530173	1036011	FCP
14620	0.620748	6468	FCP
6630	0.593277	71454	FCP
9800	0.604496	21087	FCP
14610	0.627379	6779	FCP
8360	0.601932	34783	FCP
15340	0.620853	5697	FCP
13720	0.616242	8164	FCP
16940	0.623537	4444	FCP
25450	0.635371	1374	FCP
26220	0.655618	1237	FCP
