VALUE	SESSIONLENGTH	FREQUENCY	TIMER
13040	5.542	5457	FID
23980	7.409	738	FID
22040	5.744	1088	FID
1760	6.175	449947	FID
5060	6.244	76065	FID
3000	6.937	235025	FID
3410	6.625	190838	FID
12850	6.049	5418	FID
6650	6.049	36514	FID
19850	5.411	1452	FID
20640	5.356	1355	FID
17870	5.512	2013	FID
22310	4.952	1074	FID
20850	6.235	1225	FID
26860	5.54	562	FID
27040	4.441	575	FID
26760	4.713	475	FID
28780	3.837	498	FID
9840	5.457	12346	FID
13920	5.752	4159	FID
23150	5.077	919	FID
21620	5.237	1153	FID
510	6.024	768469	FID
6580	5.756	38710	FID
14160	6.497	3990	FID
18600	5.364	1721	FID
23920	4.975	811	FID
16380	5.048	2436	FID
14460	5.677	3501	FID
28220	7.614	552	FID
12120	5.54	6017	FID
25870	4.791	835	FID
14790	5.698	3638	FID
1740	6.154	453390	FID
12820	5.513	5706	FID
12590	5.357	5979	FID
8610	6.195	18785	FID
9900	5.732	12027	FID
8510	5.591	18688	FID
23050	4.752	936	FID
28770	4.675	438	FID
20630	4.754	1219	FID
4130	6.579	127322	FID
5960	6.26	50664	FID
4440	6.465	108736	FID
7810	5.393	23423	FID
26740	8.457	535	FID
16490	6.552	2541	FID
28330	3.292	475	FID
8320	5.9	20473	FID
3600	7.157	171058	FID
19560	4.38	1607	FID
17880	5.273	1807	FID
17920	5.512	1939	FID
23630	5.203	961	FID
14540	5.685	3566	FID
7180	6.024	29673	FID
11060	5.824	9005	FID
20820	4.897	1192	FID
370	6.189	935248	FID
6330	5.787	42666	FID
120	6.681	2950185	FID
3080	6.81	225618	FID
13280	5.059	4997	FID
1800	6.246	439466	FID
4600	6.403	97317	FID
8690	5.813	17312	FID
11820	5.489	7351	FID
9060	6.311	15652	FID
13750	5.226	4359	FID
21710	4.848	1097	FID
15800	5.489	2953	FID
24020	5.033	738	FID
5530	6.403	60891	FID
29630	5.172	434	FID
310	6.338	1089651	FID
1970	6.409	403735	FID
8090	5.902	20384	FID
17950	4.845	1929	FID
15450	5.885	3112	FID
9450	5.731	13445	FID
11760	5.3	6998	FID
29700	5.38	428	FID
12490	5.515	5668	FID
15270	5.848	2922	FID
17030	4.757	2207	FID
29050	6.309	497	FID
27460	4.828	518	FID
23100	5.131	1072	FID
5250	6.247	69682	FID
6560	5.807	39477	FID
14650	5.767	3709	FID
4480	6.398	105400	FID
10740	5.319	9267	FID
4910	6.582	83467	FID
9960	5.82	11758	FID
5270	6.239	69743	FID
21660	4.141	1074	FID
11410	5.302	8064	FID
15680	4.419	2903	FID
18040	5.697	1846	FID
16290	7.313	2746	FID
19760	5.392	1420	FID
28830	3.675	447	FID
6230	5.973	44859	FID
11620	5.655	7114	FID
12070	5.871	6370	FID
27880	6.14	675	FID
1120	6.234	610962	FID
10100	6.504	10950	FID
18870	5.088	1571	FID
19070	5.271	1655	FID
18080	4.795	1909	FID
2730	6.84	272621	FID
23310	4.954	903	FID
1040	6.206	631322	FID
9800	5.484	12756	FID
6630	6.121	37575	FID
14620	5.506	3529	FID
8360	6.383	19157	FID
14610	5.21	3553	FID
15340	6.067	2925	FID
16940	4.953	2417	FID
25450	4.351	695	FID
13720	5.812	4245	FID
26220	4.636	693	FID
1940	6.443	408725	FID
6140	5.959	45986	FID
7360	5.845	28152	FID
17990	4.794	2053	FID
19170	5.294	1687	FID
12370	5.769	6411	FID
28620	3.715	390	FID
11120	6.301	8154	FID
21570	5.642	1078	FID
21230	4.834	1164	FID
27970	4.81	476	FID
18760	4.947	1877	FID
27440	4.093	522	FID
24580	8.193	869	FID
21320	6.989	1335	FID
28350	4.972	403	FID
22660	4.886	854	FID
2980	6.862	236761	FID
2600	6.764	291137	FID
10790	5.684	9076	FID
24090	5.323	797	FID
13690	6.525	4854	FID
11460	5.761	7570	FID
27140	4.871	483	FID
15710	5.314	3080	FID
16880	4.695	2467	FID
25670	4.63	617	FID
13900	4.908	4146	FID
19410	5.412	1507	FID
23010	5.517	878	FID
22340	4.709	1060	FID
19460	5.751	1423	FID
29540	5.36	422	FID
26020	5.3	683	FID
950	6.259	656707	FID
5840	6.029	53138	FID
5450	6.183	63321	FID
10170	5.859	11005	FID
14660	5.563	3760	FID
21980	4.734	1118	FID
17890	6.874	1959	FID
22130	6.871	1111	FID
