TTFB,TTI,FREQ
827,5625,228568
825,5616,228521
821,5627,228495
841,5800,228343
828,5642,228228
829,5651.5,227814
831,5642,227607
832,5650,227574
830,5652,227139
29,3900,227035
833,5675,227023
834,5665,226717
90,3205,226696
835,5668,226448
837,5694,225793
838,5668,225148
842,5684,224939
89,3200,224865
839,5674,224670
844,5706,224606
836,5678,224519
88,3191,224340
840,5676,224122
30,3893,224107
847,5713,223758
850,5721,223724
843,5698,223670
877,5999,223437
846,5698,223153
845,5707,222972
848,5696,222890
849,5700,222663
858,5776,222453
87,3208,222426
866,5734,222258
853,5731,222130
859,5754,221775
856,5740,221696
854,5745,221695
852,5729,221484
860,5782,221301
851,5704,221255
31,3879,221239
86,3203,221140
857,5747,221049
855,5727,221022
863,5790,220445
85,3213,220434
862,5802,220106
861,5784,219962
865,5804,219528
864,5788,219500
84,3213,219358
32,3861,218985
868,5794,218985
867,5797,218812
873,5821,218201
870,5800,218081
869,5807,217961
871,5806,217430
874,5835,217342
880,5826,217336
83,3224,217273
872,5802,217104
876,5845,216597
878,5829,216504
82,3208,216099
879,5826,216043
875,5783,215995
33,3863,215752
884,5851,215284
882,5844,215260
883,5850,215172
881,5831,215098
885,5813,214392
80,3214,213921
81,3203,213904
886,5847.5,213420
888,5852,213377
34,3858,213027
892,5825.5,212740
887,5854,212728
890,5864,212686
889,5844,212548
891,5844,212287
79,3229,212069
78,3239,211798
893,5854,211716
898,5851,211662
899,5852,211042
894,5848,211020
896,5865,210955
895,5849,210505
897,5843,210434
902,5849,210042
35,3832,209682
900,5852,209588
901,5857,209533
77,3229,209502
904,5845,209368
903,5866,207959
905,5882,207911
76,3220,207873
910,5867,207285
906,5855,207150
36,3813,206784
75,3239,206773
909,5880,206744
907,5859,206737
908,5869,206549
911,5865,206292
914,5883,206080
912,5889.5,205974
913,5870,205790
74,3253,205352
917,5887,205166
915,5880,204918
916,5877,204885
73,3251,204027
922,5903,203994
919,5859,203867
37,3791,203826
920,5910,203796
918,5880,203411
921,5905,203046
72,3261,202821
70,3277,202724
71,3273,202683
925,5885,202654
924,5888,202590
923,5894,202572
38,3752,202342
926,5910,201669
929,5903,201623
932,5908,201503
928,5929.5,201414
930,5902,201168
927,5886,201067
