JS_SIZE,TTI,FREQ
11386,3554.5,8192
541,5770,8192
1434,5174,8191
493636,10132,8187
3572,4744,8186
9970,1430,8186
1044,4486,8185
1542,5570.5,8184
2624,3622,8182
547341,4042,8177
17458,6731,8176
3227,3893,8174
2091,6896,8171
480,3726,8169
903,7975,8167
509,5234.5,8166
94797,3575,8161
788,4666.5,8152
572,4633,8151
717,4035.5,8150
1429,5129,8148
1499,5180,8147
305122,3468,8146
11126,3501,8145
1816,4639,8141
67136,4924,8119
1593,4970,8117
1503,5887,8117
1501,5228,8113
1267,5115,8104
336,858,8104
1517,5432,8103
58417,7201,8102
1365,5359.5,8102
15998,6639,8095
10595,3346.5,8094
2603,6736,8089
944,5787,8088
1272,4948,8088
1012,3461,8088
1969,7766,8081
1402,5829,8080
1178,4700,8077
1186,4451,8073
1495,5885,8069
1404,5538,8069
1590,5372,8059
656,4420.5,8058
2873,5787,8054
1419,6696,8052
10858,3697,8052
2707,6273,8051
69635,3240,8051
1435,5141,8049
3095,4451,8047
2036,4942,8047
796,4904.5,8044
382,6624,8043
1749,4629.5,8040
211,3889,8038
25191,4697,8037
1689,3396,8035
157386,2779,8031
451,4942,8031
880,5325,8023
1527,5631,8019
2000,3543,8019
749,5128,8002
155,3874,8001
1539,5479,8000
73364,5319,7997
1427,4654.5,7994
11127,3516,7985
1015,4202.5,7984
764,4570.5,7984
432,4201,7975
1148,4660,7971
1528,5708,7969
789,4606,7969
577,4429,7969
116991,3831,7965
1502,5687.5,7960
4887,973.5,7952
502,4549,7952
420380,4173,7949
1266,4606,7944
1372,5316,7933
1496,5694,7931
2617,4463,7930
1569,5459.5,7928
48262,2253,7909
1438,5210,7907
1538,5469,7906
344559,2564,7903
1250,5274,7901
1350,4624,7901
11392,3550,7893
2950,4708,7893
1386,5302.5,7892
573,4727.5,7888
1646,6084,7888
1353,4723,7888
1574,5625,7887
1585,5622,7877
1515,5346,7875
1033,4284,7875
146364,5568,7872
626,4533,7867
713,4147.5,7864
1418,6688,7863
1534,5567.5,7862
386,4426.5,7858
1541,5613,7855
10794,3561,7853
1329,5463,7851
10530,3179,7849
701,3756,7843
238,3337,7843
1513,5445,7843
4128,3382.5,7842
1417,6264,7829
1540,5557,7829
375326,4064,7829
503,3914,7827
71643,2285,7821
67133,4540,7816
1159,4247,7813
11315,3593,7813
1485,5672,7811
15621,1317.5,7810
581,3958,7807
1317,4250,7806
1514,5532,7804
1437,5047,7801
1230,4402,7797
592,4749,7784
1484,5637,7783
1575,5632,7774
1507,5833,7772
247,4715,7771
1304,6298,7770
555643,4375,7764
1500,5226,7763
1251,4989,7761
268625,6272,7753
1016,4799.5,7752
2691,5458,7743
781,4897,7740
315,5373.5,7738
1405,5341,7737
1045,4528,7735
855,5301,7735
10860,3753,7732
11052,3372,7731
1428,5079,7730
1531,5294,7728
1512,5399,7724
430,3812,7724
1491,5665,7723
964,5312.5,7722
2247,5559,7718
11045,3461,7711
1244,4897,7708
700,3284,7703
1511,5508,7700
848,5240,7700
345451,4324,7700
1533,5401.5,7698
2951,4658,7698
1486,5656.5,7696
10501,10908,7695
1194,4532,7695
52995,3544,7694
508,5231.5,7690
15997,6520,7688
1343,5366,7686
75610,2682,7685
15999,6586.5,7684
760,4904,7676
115781,755,7675
1537,5485,7674
1510,5558,7671
3241,6881,7671
2875,5777.5,7670
11044,3533,7668
511,4898,7668
10859,3616,7667
356,4722,7666
1490,5659,7657
1498,5162,7657
549231,4086,7651
734,4457,7648
258,4053.5,7640
