IMAGES,TTI,FREQ
1053,7468.5,68
1111,6536,68
1038,5133,67
1371,7253,67
1751,9846,67
1214,3183,67
1444,5650,67
1096,7586,67
1312,8017,66
1145,6269,65
2265,3254,65
1120,6548,64
1065,5083,64
1026,7856,64
2267,4295.5,64
1063,7133,63
1122,6932,63
1476,10162,63
1099,6140,63
1108,6385,63
1165,6820.5,62
1790,27001,62
1211,6385.5,62
1106,6522,62
1064,6987.5,62
1267,5907,61
2286,10059,61
1187,5398,61
1146,6516,61
1237,8096,61
1128,7961.5,60
1051,6492,60
1307,7578.5,60
1194,9134.5,60
1195,7207.5,60
1147,6502.5,60
1762,6095.5,60
1062,6143,59
3575,3217,59
1100,8905,59
1266,5010,59
1049,7256,59
1250,6007,59
1110,7240,59
1265,4006,59
1158,6739.5,58
1132,7527,58
2232,3557,58
1070,6559,58
1037,9232,57
1536,7554,57
1060,4940,57
1054,7587,57
1080,6364,57
1521,4815,57
1564,8652,57
1044,6919,57
2207,4612,56
1155,6364,56
1121,7006,56
1317,6429,56
1052,5899.5,56
1107,6225,55
2227,3226,55
1095,6556,55
1133,6142,55
1057,7256,55
1313,7179,55
1067,6138,55
1192,7460,55
1075,5624,55
1458,5559,54
1086,7722,54
1457,4694,53
1753,9554,53
1249,2762,53
1633,2305,53
1109,7027,53
1696,8826,53
2285,7813.5,52
1043,8703.5,52
1141,7042.5,52
1058,6481.5,52
1082,7443,51
1253,6875,51
1087,7482,51
1137,5387.5,50
2993,5164,50
1149,8635,50
1167,7071,49
1112,7336,49
1264,5532,49
1169,7349,49
1261,6861,49
1055,7700,49
2235,1543.5,48
1081,5630.5,48
1755,10495,48
1596,8754,48
1113,7747.5,48
1140,6530,48
1150,8665.5,48
1447,6866.5,48
2208,5240,47
1157,7090,47
1074,7944,47
1174,6754,47
1042,6418,47
1459,4918,47
1519,3397,47
4788,14609,47
1148,6730.5,46
1212,6907,46
1093,5910,46
1144,5891,46
1374,6281,46
1206,6731.5,46
1889,12630,45
1754,8174,45
1101,6725,45
1362,4653,45
1334,7200,45
1084,6819.5,44
2203,7224.5,44
1202,7854,44
1794,21368.5,44
1069,6245,43
1127,6083,43
2231,3602,43
1377,6118,43
1763,9487.5,42
1290,5764,42
1251,5533.5,42
1061,7937,42
1189,6910,42
1535,9312,42
1179,6037,42
1091,7729.5,42
2225,3427,42
3467,3267,41
1393,8615,41
1197,6265,41
1115,8050,41
1073,8051,41
1606,7497,41
1066,7080,41
1429,7697,41
2030,18367.5,40
1760,7498.5,40
1450,5382.5,40
1216,7897.5,40
2242,1952,40
1079,7503,39
2245,4498,39
1349,6782,39
1752,10044,39
1327,6939,39
1152,5651,38
1373,12957,38
1164,7364.5,38
1698,9110.5,38
1181,6808.5,38
1297,6715.5,38
1153,6830,38
1668,9775,38
1764,9730.5,38
1453,5013,38
1129,5947,38
1163,6634.5,38
1726,10648,37
1258,6698,37
1597,6581,37
2206,4931,37
1142,7102,37
1170,7635,36
1135,6432,36
1083,7386.5,36
1329,4788.5,36
2230,3111.5,36
1143,6148,36
1700,4420.5,36
2234,2569,36
1524,7282.5,36
1059,7711,36
1446,9289,35
2205,4649,35
1168,8617,35
1219,5955,35
1539,10818,35
1201,8510,35
1309,7707,34
1131,6115,34
1159,7550.5,34
1324,7748.5,34
1909,10680.5,34
2287,10161,34
2228,4590,34
1345,6374.5,34
1439,10638,33
1177,7515,33
1333,5901,33
1252,6025,33
1895,23941.5,32
1161,7474.5,32
1774,8275.5,32
1469,5955.5,32
1369,8177,32
1451,5331,32
1230,6801.5,32
1363,5867.5,32
1154,5435,32
1293,6001.5,32
1071,8324.5,32
1331,7869,32
1361,5069,32
1653,9376,32
1487,6491,31
1183,4660,31
2204,7688,31
1328,7881,31
1225,6460,31
1365,6807,31
1766,11340,31
1434,8248,31
2226,3615,31
1460,5561,31
2240,2360,31
1443,6143,31
1574,18040.5,30
1130,5512,30
1089,8598.5,30
1550,12241,30
1162,5487,30
1615,8125,30
1620,8051,30
5043,7105,30
1085,6110.5,30
1223,7146,30
1243,6305,29
1467,4854,29
1347,7319,29
1517,7161,29
1509,9566,29
1775,9999,29
1354,7810,29
1364,7837,29
1335,6959,29
1773,9663,29
1306,7729,29
1180,8260,29
1697,12010,29
1200,8070,28
1943,14103.5,28
1308,5967,28
1396,7610.5,28
1209,6846.5,28
1449,5409,28
1900,8309.5,28
1302,6100,28
1160,7832.5,28
1303,5811,28
1651,9239,27
1245,6864,27
1173,8995,27
1232,7598,27
1326,6389,27
1530,8644,27
1701,6107,27
1455,5428,27
1262,6111,27
1778,10984,27
1360,4615,27
2241,3058,27
1445,6860,27
1538,8611,27
1388,15141,26
1389,7645,26
1221,7547,26
1292,9672.5,26
1291,8446.5,26
1442,6323.5,26
1246,7807.5,26
1826,11179.5,26
1759,12963,26
1119,7422,26
1260,7057,26
1178,12613.5,26
1892,7343.5,26
1342,6340,26
1263,7828,26
1184,5449.5,26
1381,7324.5,26
1176,6266,26
1589,9090,25
1310,7051,25
2202,6890,25
4366,10449,25
1289,5446,25
1198,8844,25
1338,5887,25
1379,7200,25
1798,11104,25
1353,5967,25
1215,4317,25
1322,7433,24
1818,12122.5,24
1299,7160.5,24
1756,10493.5,24
1199,8982,24
1337,8883.5,24
1465,5651,24
1769,12938.5,24
1994,9874,24
1800,12846,24
1301,7486,24
2238,2746,24
1375,6410,23
1300,4696,23
1304,8087,23
1851,9250,23
1508,7563,23
1560,8036,23
1244,7398,23
1305,8932,23
1510,6238,23
1319,1391,23
1372,6932,23
1537,6753,23
1555,8991,23
1242,5654,23
1314,5211,23
1229,8010.5,22
2313,3215,22
1729,8211.5,22
1217,5412.5,22
1355,6150.5,22
1236,5881,22
1673,6257.5,22
1218,10177,22
1207,7501.5,22
1203,6126,22
1492,15425.5,22
1820,16899,22
1704,4967.5,22
1332,6429.5,22
1477,6495,22
1608,10930,22
1357,6511,21
1546,11759,21
1462,8700,21
1193,5970,21
1757,8018,21
1474,8443,21
1436,6916,21
1559,4972,21
1736,7251,21
1676,13848,21
1376,5581,21
1765,10341,21
1435,5582,21
2237,1635,21
1320,7864,21
1298,10479,21
1672,7389,21
1802,10104,20
1254,10279.5,20
1913,10917,20
1248,7407,20
1852,11220,20
1858,12039,20
1400,7654.5,20
1171,7609,20
1423,7692,20
1929,9979,20
1481,9802.5,20
1687,8736.5,20
1348,8245.5,20
2239,1810.5,20
1602,9666.5,20
7686,5337.5,20
1378,4806.5,20
1570,11657.5,20
1346,8598,20
1367,5351,20
2104,3783.5,20
1937,11016,20
1642,7979,20
1456,5468,19
1777,10289,19
1315,5405,19
1402,7131,19
1316,6142,19
1227,6833,19
1424,8836,19
2269,5978,19
1437,6418,19
1907,12415,19
1368,9537,19
1420,7822,19
1341,6900,19
1323,8726.5,18
1417,7849.5,18
1340,8493,18
1768,10877.5,18
1387,8807,18
1336,8734.5,18
1644,7435,18
1386,4971,18
1151,10552.5,18
1295,8249.5,18
1412,7600.5,18
1671,5715.5,18
1256,9838.5,18
1545,8022.5,18
7687,5151,18
1480,10833,18
1862,9798,18
1725,11517.5,18
1366,6944.5,18
1690,10344,18
1235,8079,18
1311,10088.5,18
1383,7086.5,18
1343,8853,18
2314,2683.5,18
2994,3029,17
7651,5728,17
1786,9903,17
1321,6305,17
1441,6208,17
1776,11998,17
1432,5964,17
1689,11465,17
2236,2858,17
2229,2680,17
1385,8227,17
1823,10664,17
1399,14286,17
1257,5775,17
1247,7976,17
1208,6194,17
1646,11219,17
1607,8221,17
1344,6331,17
1484,10082,17
1506,8391,17
3004,8438,17
1912,9886,17
1569,13740,17
1496,5995,17
1296,7644,17
1595,9162,17
1238,9033.5,16
1779,11214.5,16
1899,15278,16
1567,11007.5,16
1398,7119,16
1403,5913.5,16
1461,7699,16
1502,12192,16
1220,7681,16
1556,12318,16
1430,7299.5,16
1224,6005.5,16
1478,8007,16
1758,10051,16
1647,11746.5,16
1234,7592,16
1993,9227,16
1684,7618.5,16
1226,12075,15
1666,10596,15
1591,20726,15
1548,12027,15
1255,6152,15
1849,14704,15
3174,7259,15
1182,8437,15
1897,19183,15
1680,8155,15
2195,7182,15
1339,8134,15
1562,9992,15
1781,8545,15
1650,12480,15
1641,10546,15
1908,7003,15
1890,11142,15
