LASTFONT,TTI,FREQ
1697,4270,226
828,2491.5,226
907,2682.5,226
1623,4102,226
817,2396.5,226
1944,4848.5,226
1946,4700,226
2033,4811,226
1732,4565.5,226
1633,4295.5,226
1994,4935,226
1078,2991.5,226
962,2933.5,226
1390,3936.5,226
1405,3450.5,226
1999,4900,226
2128,5450,226
1918,4671.5,226
1425,3650,226
1915,5542.5,226
2051,4947,226
1564,4126.5,226
2064,4922,226
1543,4426,226
1126,3299,226
1116,2937.5,226
1544,3993.5,226
2112,5036.5,226
1662,4198.5,226
2204,5099.5,226
2122,5397.5,226
2188,5077,226
829,2495,226
1511,3912,225
1789,4086,225
1765,4676,225
1360,4081,225
1045,2947,225
1912,5012,225
966,2820,225
1871,4736,225
1607,4130,225
2444,5263,225
1460,3910,225
1156,3345,225
909,2348,225
1741,4702,225
885,2693,225
2004,4927,225
1100,2979,225
1867,4414,225
1593,3659,225
1848,4670,225
984,2727,225
2121,4960,225
922,2756,225
1369,3439,225
1989,4914,225
1763,4487,225
905,2727,225
1988,5088,225
1323,3742,225
1721,4590,225
1669,4331,225
1705,4960,225
2186,5307.5,224
1093,2885.5,224
1017,2844.5,224
1216,3434.5,224
2170,4983,224
931,2734.5,224
2249,4970.5,224
1908,4338.5,224
957,2643.5,224
1581,3965,224
2198,5267,224
810,2346.5,224
2171,5252,224
949,2793.5,224
855,2433,224
858,2497.5,224
1770,4747,224
1081,3062.5,224
871,2530.5,224
835,2512,223
2114,4913,223
2073,4866,223
897,2591,223
2418,5079,223
1097,2886,223
2120,5309,223
2151,5209,223
1698,4399,223
2118,4998,223
1795,4715,223
936,2685,223
2028,4668,223
2244,5325,223
1672,4151,223
1657,4168,223
1979,5058,223
1884,4562,223
1575,4265,223
1000,2743,223
2130,5109,223
1525,4019,223
1401,3872,223
1210,3298,223
955,2727,223
1018,2821,223
895,2427.5,222
981,3029,222
1730,4622,222
2012,4515.5,222
1926,5085,222
1927,4925.5,222
1222,3351.5,222
1242,3330.5,222
2173,5412.5,222
925,2449,222
1873,4895.5,222
1893,4967.5,222
1051,2869,222
1816,4349,222
1822,4269,222
2287,5752,222
1157,3226.5,222
1997,4851.5,222
1932,4836,222
1849,4851,222
1214,3238.5,222
2428,5420,222
1380,3685,222
2180,5072,222
1150,3203,221
1487,4050,221
2322,5105,221
967,2949,221
2135,5088,221
887,2509,221
2189,5272,221
1077,3393,221
2029,4672,221
863,2388,221
2255,5364,221
875,2719,221
2096,5134,221
2155,5543,221
2336,5490,221
2018,5110,221
2006,4926,221
2209,4978,221
2176,5077,221
1679,4816,221
2110,4510,221
2323,5464,221
2058,5455,221
1878,4539,221
778,2188,221
2282,5769,221
2177,5548,221
1021,2914,220
1550,4008,220
992,2857,220
1279,3628,220
1606,4534.5,220
2098,5088.5,220
1614,4185,220
2168,5263,220
1737,4075,220
1039,2845.5,220
1071,3078,220
1673,4292,220
1055,3068.5,220
795,2205,220
1869,4296.5,220
2150,4837.5,220
2160,5219,220
2452,5421.5,220
2224,5080.5,220
911,2392.5,220
1855,4637.5,220
1930,4912,220
1640,4563.5,220
2205,5139.5,220
906,2562.5,220
1917,4511.5,220
973,2849.5,220
1846,4506.5,220
1113,3374,220
1473,4355.5,220
1696,4293,219
923,2640,219
1421,3805,219
1628,4338,219
1906,4630,219
2245,5621,219
1462,3659,219
865,2501,219
1065,3129,219
2158,5467,219
2140,4769,219
2146,5209,219
890,2516,219
2109,5385,219
1074,3288,219
1219,3350,219
2142,4807,219
1945,4732,219
1900,4664,219
2066,4903,219
1920,4494.5,218
1907,4671,218
1891,4877,218
2035,5089.5,218
2129,5738.5,218
2049,4983.5,218
1556,3953,218
802,2352.5,218
2286,5569,218
2343,5268.5,218
833,2600.5,218
1860,4389.5,218
1061,2841.5,218
904,2819,218
959,2798.5,218
1433,3895,218
2136,5242.5,218
1259,3413.5,218
2274,5136.5,218
2053,4801.5,218
2076,5298,218
2437,5397,218
2081,4908,217
1980,4922,217
