"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","session_length","sessions","beacons","non_bounce_sessions","bounces","page_visit_time","session_duration","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop",0,7800,31738.301820666,33122,3.909,1,3,5,3.349,0.775838572,67906,7750.0,5.256,67906,325474,8578,19062,185,1308,32.13,21.8,"7.7 - 7.8 s",0.48776249521397225,1.0,3
"article","Desktop",0,7900,32201.140385581,31530,3.889,1,3,5,3.354,0.776477349,64751,7849.333333,5.248,64751,309078,8226,18164,185,1306,32.13,21.77,"7.8 - 7.9 s",0.4869422866056123,1.0,3
"article","Desktop",0,8000,32458.73374677,30712,3.883,1,3,5,3.357,0.776229849,62945,7950.0,5.252,62945,300874,7922,17632,185,1310,32.04,21.83,"7.9 - 8.0 s",0.4879180236714592,1.0,3
"article","Desktop",0,8100,32649.136946978,29440,3.871,1,3,5,3.306,0.77680442,60614,8050.0,5.187,60614,286286,7673,17096,187,1312,32.29,21.87,"8.0 - 8.1 s",0.4856963737750355,1.0,3
"article","Desktop",0,8200,33208.823002269,28640,3.879,1,3,5,3.329,0.776147567,58855,8150.0,5.217,58855,279257,7411,16481,187,1318,32.04,21.97,"8.1 - 8.2 s",0.48661965848271177,1.0,3
"article","Desktop",0,8300,33656.551377548,27675,3.875,1,3,5,3.323,0.775944427,56807,8250.0,5.211,56807,269530,7119,15910,187,1300,32.02,21.67,"8.2 - 8.3 s",0.48717587621243863,1.0,3
"article","Desktop",0,8400,33822.251054985,26702,3.84,1,2,5,3.317,0.777726331,54953,8350.0,5.183,54953,258715,6942,15385,188,1292,32.04,21.53,"8.3 - 8.4 s",0.4859061379724492,1.0,3
"article","Desktop",0,8500,33988.945037526,26002,3.882,1,3,5,3.311,0.776943863,53653,8450.0,5.192,53653,253485,6776,15098,188,1316,32.21,21.93,"8.4 - 8.5 s",0.4846327325592232,1.0,3
"article","Desktop",0,8600,34669.637843642,25570,3.821,1,2,5,3.304,0.775435597,52200,8550.0,5.176,52200,244779,6743,14517,189,1309,31.94,21.82,"8.5 - 8.6 s",0.48984674329501915,1.0,3
"article","Desktop",0,8700,34988.680807963,24495,3.885,1,3,5,3.32,0.774912921,50233,8650.0,5.215,50233,237936,6471,13900,191,1314,31.76,21.9,"8.6 - 8.7 s",0.48762765512710765,1.0,3
"article","Desktop",0,8800,35362.069000673,23761,3.889,1,3,5,3.314,0.776008949,48952,8750.0,5.202,48952,231051,6399,13768,188,1297,32.35,21.62,"8.7 - 8.8 s",0.48539385520509887,1.0,3
"article","Desktop",0,8900,35650.905070028,23043,3.825,1,2,5,3.287,0.777653073,47638,8850.0,5.137,47638,222366,6050,13401,190,1300,32.22,21.67,"8.8 - 8.9 s",0.4837104832276754,1.0,3
"article","Desktop",0,9000,36154.053926664,22217,3.916,1,3,5,3.31,0.776827054,45861,8951.0,5.208,45861,216559,5983,13025,190,1330,32.66,22.17,"8.9 - 9.0 s",0.48444211857569613,1.0,3
"article","Desktop",0,9100,36229.301648061,21581,3.851,1,2,5,3.316,0.777218965,44395,9050.0,5.188,44395,209051,5719,12421,191,1314,32.12,21.9,"9.0 - 9.1 s",0.48611330104741524,1.0,3
"article","Desktop",0,9200,36568.325669278,21156,3.863,1,2,5,3.326,0.77694182,43559,9150.0,5.203,43559,205316,5749,12076,191,1323,31.94,22.05,"9.1 - 9.2 s",0.4856860809476802,1.0,3
"article","Desktop",0,9300,37163.100135788,20308,3.871,1,2,5,3.318,0.777391107,41953,9250.0,5.192,41953,197529,5475,11680,190,1311,32.02,21.85,"9.2 - 9.3 s",0.4840655018711415,1.0,3
"article","Desktop",0,9400,37387.922125124,19796,3.832,1,2,5,3.31,0.777879393,40782,9350.0,5.17,40782,191025,5393,11323,191,1308,32.0,21.8,"9.3 - 9.4 s",0.48541023000343286,1.0,3
"article","Desktop",0,9500,37644.303310809,19313,3.84,1,2,5,3.302,0.776214505,39679,9450.0,5.171,39679,185614,5176,10907,194,1331,31.61,22.18,"9.4 - 9.5 s",0.4867310164066635,1.0,3
"article","Desktop",0,9600,37925.835794006,18757,3.822,1,2,5,3.307,0.776182611,38553,9550.0,5.166,38553,180248,5045,10712,192,1307,31.97,21.78,"9.5 - 9.6 s",0.4865250434466838,1.0,3
"article","Desktop",0,9700,38532.553365391,17956,3.801,1,2,5,3.287,0.780256442,37384,9650.0,5.113,37384,173287,4798,10516,193,1306,32.27,21.77,"9.6 - 9.7 s",0.4803124331264712,1.0,3
"article","Desktop",0,9800,39016.501911051,17599,3.886,1,2,5,3.263,0.778943031,36751,9751.0,5.124,36751,170672,4793,10432,193,1309,32.64,21.82,"9.7 - 9.8 s",0.4788713232292999,1.0,3
"article","Desktop",0,9900,39320.947592566,17064,3.838,1,2,5,3.283,0.777772406,35472,9850.0,5.13,35472,164264,4759,9980,193,1312,32.49,21.87,"9.8 - 9.9 s",0.4810554803788904,1.0,3
"article","Desktop",0,10000,39532.371363759,16685,3.873,1,3,5,3.255,0.778310443,34792,9950.0,5.112,34792,161130,4526,9816,192,1299,32.43,21.65,"9.9 - 10.0 s",0.47956426764773513,1.0,3
