IMAGE_SIZE,TTI,FREQ
51422,2088.000,21309
914089,4365.000,21300
1322338,6578.500,21238
617149,8077.500,21236
1674,6573.000,21216
384120,6890.000,21203
338021,8018.000,21129
282640,6114.000,21121
48168,3418.000,21114
595299,6664.000,21067
23794,4338.000,21028
38678,7659.000,21019
50786,6623.000,21016
983448,7526.000,21005
297427,3441.000,21000
59265,6439.000,20985
347889,2946.000,20957
15306,1916.000,20852
20592,3829.000,20778
1330245,2919.000,20722
69498,2545.500,20656
115793,3661.000,20635
7425,8943.000,20583
1499,3968.000,20540
53968,6729.000,20509
872576,3714.500,20486
60616,6348.500,20478
365026,8853.000,20468
130318,5469.000,20399
1172,11665.500,20372
1612,1867.000,20305
15218,2582.000,20255
9243,1236.000,20230
140632,3387.000,20222
657134,7152.000,20206
338461,4294.500,20188
168071,3928.000,20176
379793,3722.000,20149
26774,7575.000,20111
478064,7136.000,20101
6506,1644.000,20047
182790,6252.000,19947
984754,7341.000,19934
241,7758.500,19880
391674,3597.000,19854
8129777,4996.000,19835
1109,5727.000,19826
4133,10108.000,19813
21657,4157.000,19798
4334,7022.000,19722
98452,4794.000,19691
142328,2532.000,19690
16626,4360.000,19689
25842,4505.500,19668
11350,4463.000,19666
5882,6121.000,19665
1450,5401.000,19558
11937,5910.000,19555
26864,3239.000,19534
38684,7848.500,19526
48053,1991.000,19519
14202,4623.000,19497
2918,6643.000,19495
9982,3263.000,19487
153176,6536.500,19432
758756,5896.500,19388
15136,11351.000,19343
63319,4956.000,19228
34283,48234.000,19203
3360,6657.000,19149
40526,7079.500,19142
85007,8708.000,19091
1274900,8012.000,19058
2595,12709.000,19051
1014,6609.000,19046
2189790,1768.000,18986
2900,3433.500,18974
29365,2301.000,18913
625968,6979.000,18904
62609,2635.000,18853
107895,4929.000,18787
638621,3927.500,18772
1663108,3625.000,18727
294954,9636.000,18721
25016,6975.000,18682
13747,4917.000,18671
7280,4165.000,18661
1801464,3741.000,18642
308220,4887.000,18635
2071,4248.000,18619
129731,9635.000,18612
61179,4913.000,18600
133504,3446.000,18523
54474,5457.000,18477
7406,1516.000,18467
2201123,2128.000,18465
42009,7456.000,18448
183343,10233.000,18425
12704,3082.000,18421
9637,4118.500,18402
3478,5328.000,18333
79414,1765.000,18278
87912,3156.000,18246
348036,4145.000,18223
18229,6047.000,18210
1510824,4997.000,18181
23048,8074.000,18159
100753,6877.000,18126
231991,2367.000,18101
1275136,3777.000,18023
6680,3245.000,18016
88,2004.000,17998
55889,6819.000,17961
27481,1672.000,17961
4390,6603.000,17883
2448,2584.000,17878
38677,7751.000,17841
68327,2084.000,17809
47399,6063.000,17804
359,2236.000,17797
30296,8273.000,17758
2078345,2317.000,17717
16074,7841.000,17704
76488,2266.000,17673
2409109,2621.000,17664
2295970,4280.000,17587
812704,4847.000,17573
34397,4394.000,17569
446759,3753.000,17561
652835,13746.000,17534
300987,5875.000,17526
3855,7828.000,17519
309357,5592.000,17506
58068,5791.000,17486
8073,7883.000,17483
1064000,4059.000,17425
213,4156.000,17413
166283,10304.000,17341
37701,5483.500,17324
4127580,3738.000,17323
303718,4074.000,17293
264266,2288.000,17287
649683,10828.000,17257
6716,3547.000,17228
60781,4871.500,17222
162,8595.000,17201
736756,6744.000,17188
1911711,3598.000,17174
65704,13802.500,17164
34195,4727.500,17134
244064,5580.000,17131
3007,8485.000,17128
240,6371.500,17116
345135,5426.000,17101
2347829,6248.000,17082
52840,4987.000,17077
35126,7829.000,17009
85133,13876.000,16979
17387,3034.000,16937
84790,8200.000,16922
38675,7658.000,16901
15077,2114.000,16890
4148,3182.000,16866
20765,2704.000,16849
2879,7664.000,16843
440062,3724.000,16791
64044,3408.000,16764
17172,4801.000,16763
27440,4341.000,16730
134629,3143.000,16697
23819,2353.500,16692
57483,4669.000,16680
334538,6868.000,16657
223707,1323.000,16654
92504,7431.000,16645
30770,10503.500,16620
647276,4475.000,16612
16260,6702.000,16602
13198,9302.000,16599
649557,13017.500,16576
79691,4528.000,16573
31586,4982.500,16540
56116,4354.000,16519
55853,6110.000,16502
168608,13999.000,16497
45946,1918.000,16489
185081,4701.000,16484
4581,5495.000,16459
220,2264.000,16452
43752,805.000,16446
160218,3877.500,16422
2416,5607.000,16391
21911,7067.000,16358
81606,5179.000,16337
2027,2461.000,16322
417357,5098.500,16312
50635,5903.000,16303
743424,5040.000,16290
12382,5915.000,16228
27105,2205.000,16201
3145,4085.000,16200
11897,4592.000,16159
72565,8212.500,16152
4590,2401.000,16123
3302261,7183.000,16070
252026,9008.000,16045
40648,3687.000,16018
360,3818.000,15991
306661,4534.000,15972
1527194,12267.000,15965
2394939,2953.000,15963
932448,3960.000,15944
7098,6978.000,15943
66178,1432.000,15921
198296,7532.500,15908
15592,3102.000,15893
11702,5256.500,15862
50156,6508.000,15832
80317,1928.000,15815
52723,2225.000,15811
7737,8063.500,15806
26797,2306.000,15729
12638,8811.000,15729
2943,2916.000,15696
65936,6742.000,15677
1734493,5244.000,15636
108631,3192.000,15563
3492,11504.500,15554
63361,4739.500,15550
639071,4512.000,15540
1720357,2751.000,15532
708396,7394.000,15518
22699,4706.000,15487
140069,3551.500,15476
727859,6240.000,15471
1997803,4028.000,15463
11771,3779.000,15451
144684,5054.000,15427
28914,5984.000,15421
294953,9758.000,15393
246093,5961.000,15374
647319,4288.000,15353
16777,11123.500,15332
43594,3670.000,15332
10175,1930.000,15311
48056,3416.000,15291
1250380,3403.000,15275
684764,4188.500,15266
49866,8535.000,15263
355404,8234.500,15224
51712,7205.000,15203
625652,7134.000,15169
4113,5216.000,15138
558802,9515.500,15106
52372,7542.000,15090
28907,5118.000,15086
2767,1974.000,15023
16416,7838.000,15018
6187,3779.000,15017
6153,3882.500,15000
18503,6885.500,14972
560202,3632.000,14958
19609,6864.000,14947
10758,2176.500,14934
594696,1579.000,14933
7431,3803.000,14902
543759,4658.000,14884
41580,5648.000,14877
49662,3240.000,14849
203,4816.000,14840
32959,10631.000,14812
1135,4668.000,14797
141847,2459.000,14749
413250,3782.000,14747
659986,5696.000,14727
4654,4481.000,14721
46180,4253.000,14721
14214,6450.500,14662
16668,8051.500,14608
2631,6731.000,14599
5873,1693.000,14581
1493685,3117.000,14578
56283,7040.000,14567
617773,3728.000,14553
104875,1451.000,14523
872570,5548.000,14517
577083,4143.000,14514
4391,6638.000,14506
121168,3433.000,14485
30807,4777.000,14467
38674,7816.000,14437
66669,1790.000,14405
599,4865.000,14397
2332,4747.500,14396
34786,4923.000,14375
93003,9951.000,14365
69092,7686.000,14354
60832,4464.000,14353
64599,782.000,14338
2498706,2783.000,14335
13143,2811.000,14327
12076,7802.000,14321
13987,4218.000,14314
50144,7224.000,14305
24060,4471.000,14298
9195,4073.000,14275
514121,7843.000,14271
16804,2201.000,14242
37700,5483.000,14221
130,3619.000,14201
189209,1926.000,14187
47665,2674.000,14179
21699,7616.500,14128
8879,4375.000,14112
180924,7550.000,14101
55969,7715.500,14090
12004,5606.000,14066
120,4757.500,14064
378834,6292.000,14049
337311,3317.000,14037
242123,10355.000,14025
2105874,1927.000,14022
242039,8154.500,13992
38891,7537.500,13968
3723,6461.000,13961
48437,2615.000,13939
348405,3766.000,13921
35110,11884.500,13918
145997,4930.000,13915
3648,3871.000,13912
64083,4816.000,13911
117979,4319.000,13904
4202,4762.000,13873
173710,11811.500,13844
1093,5369.500,13838
402205,5176.000,13811
210759,2496.000,13806
64020,2663.500,13798
44729,6388.000,13791
548506,4642.000,13791
168524,10991.000,13785
56546,4852.000,13763
61922,6602.000,13747
1026409,3316.000,13741
764,4683.500,13740
2839,10253.000,13703
67561,4762.000,13698
11021,4373.500,13684
7596,12255.000,13681
37706,5644.000,13667
1165842,3436.000,13652
41962,5094.000,13641
142004,3270.000,13624
328921,3591.000,13591
