DOM_SIZE,TTI,FREQ
1385,5315,143103
933,5082,143102
1063,5507,142954
828,4497,142951
1517,5604,142936
1684,5850,142895
1658,6058,142881
1268,5455,142769
1332,5597,142599
1403,5757,142569
1277,5700,142540
1272,5490,142477
325,7600,142477
1351,5120,142473
1559,5544,142471
928,5142,142432
1275,5599,142368
217,6309,142331
496,5331,142317
833,4783,142200
691,5210,142159
1942,5636,142136
1693,7160,142008
920,5131,142000
1119,5853,141926
1659,6180,141912
927,5137,141901
779,4584,141769
1113,5829,141734
1775,5922,141691
859,4924,141639
1241,5554,141559
1116,5855,141519
931,5167,141462
1340,5561,141453
15,2097,141434
1373,5663,141424
1270,5534,141402
1511,5487,141347
795,5023,141258
575,5370,141247
1122,5793,141222
466,5285,141129
453,6633,141083
1263,5515,141083
1242,5398,141078
1236,5488,140975
929,5185,140964
1059,5689,140926
1238,5503.5,140814
863,4714,140702
1689,5949,140656
1565,5712,140652
1390,5571,140651
930,5181,140621
1652,6146,140598
1685,6066,140509
861,4917,140491
63,3386,140411
1102,5623,140396
923,5188,140382
1094,5602,140343
1514,5467,140288
1396,5495,140076
1391,5480,140070
175,3958.5,140052
1930,6131,139965
1120,5773,139920
1117,5839,139876
1115,5892,139748
1692,7261.5,139728
1091,5586,139594
1064,5617,139585
1398,5538,139516
635,4967,139475
1264,5546,139457
773,4884,139425
1653,6153,139414
1560,5618,139349
1687,6104,139309
1939,5437,139301
460,6812,139301
1090,5762,139238
814,4645,139180
780,4690,139113
1061,5709,139062
616,4669,139052
1729,5823,139035
1121,5830,139009
1661,6026,139007
1348,5347,138955
1352,5181,138949
1271,5543,138932
652,4742,138860
1745,5525,138832
935,5207,138733
1244,5501,138721
213,8907,138655
335,4815,138633
1389,5308,138596
937,5181,138551
1718,5930,138524
1342,5326,138523
831,4806,138455
1400,5531,138454
495,6111,138353
785,4895,138334
1269,5639,138261
1848,6079,138220
1393,5411,138092
834,4794,138081
1273,5627,138075
1377,5472,138017
594,4512,137997
1513,5568,137968
809,4919,137966
1265,5489,137723
328,6952,137593
544,5415,137463
1092,5611,137192
658,4805,137185
769,5081,137131
656,4915,137099
2267,5292,137092
717,5414,137024
788,4889,136779
1249,5589,136731
1246,5340,136722
1874,5128,136669
478,5227,136651
1683,5780.5,136634
832,5073,136507
822,4676,136485
1062,5712.5,136472
1253,5610,136423
813,4628,136416
2269,5397,136354
810,4547,136335
794,4769,136333
