"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","non_bounce_sessions","page_visit_time","session_duration","session_length","sessions","bounces","beacons","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop","0","3900","2764.812985998","11382","2.59","1","1","3","1.99","0.776642228","26051","3850.0","491","31","185","3.122","26051","10855","79493","42.47","3.08","3.8 - 3.9 s","0.4369122106636981","0.44652081699818036","5"
"article","Desktop","0","4000","2872.625640555","10961","2.515","1","1","3","1.973","0.77548145","24835","3950.0","488","30","180","3.084","24835","10332","74902","42.44","3.0","3.9 - 4.0 s","0.44135292933360176","0.44652081699818036","5"
"article","Desktop","0","4100","2898.521292552","10642","2.594","1","1","3","1.966","0.773009314","24065","4050.0","495","31","186","3.113","24065","10036","73110","42.58","3.1","4.0 - 4.1 s","0.4422189902347808","0.44652081699818036","5"
"article","Desktop","0","4200","2956.371057767","10161","2.484","1","1","3","1.943","0.773962119","22954","4150.0","450","31","177","3.043","22954","9516","68251","42.29","2.95","4.1 - 4.2 s","0.44266794458482184","0.44652081699818036","5"
"article","Desktop","0","4300","3009.878968846","9382","2.51","1","1","3","1.903","0.773641001","21376","4250.0","392","31","178","3.004","21376","8999","62626","42.89","2.97","4.2 - 4.3 s","0.43890344311377244","0.44652081699818036","5"
"article","Desktop","0","4400","3105.468614854","8938","2.522","1","1","3","1.921","0.772449242","20263","4350.0","418","31","175","3.034","20263","8483","59995","42.75","2.92","4.3 - 4.4 s","0.4410995410353847","0.44652081699818036","5"
"article","Desktop","0","4500","3264.232181934","8681","2.433","1","1","3","1.912","0.775141931","19784","4450.0","398","31","180","2.98","19784","8290","58517","42.76","3.0","4.4 - 4.5 s","0.43878892033966843","0.44652081699818036","5"
"article","Desktop","0","4600","3250.513517854","8287","2.463","1","1","3","1.885","0.773215521","18755","4550.0","365","31","174","2.973","18755","7900","54484","42.96","2.9","4.5 - 4.6 s","0.4418555051986137","0.44652081699818036","5"
"article","Desktop","0","4700","3337.622615049","7853","2.515","1","1","3","1.888","0.773585179","17976","4650.0","346","31","179","2.987","17976","7661","52450","43.45","2.98","4.6 - 4.7 s","0.43686025812194035","0.44652081699818036","5"
"article","Desktop","0","4800","3421.030810043","7581","2.489","1","1","3","1.884","0.771012944","17107","4750.0","353","32","182","2.987","17107","7194","49786","42.94","3.03","4.7 - 4.8 s","0.44315192611211784","0.44652081699818036","5"
"article","Desktop","0","4900","3496.164259218","7143","2.387","1","1","3","1.848","0.775784435","16385","4850.0","331","31","173","2.889","16385","7017","46154","43.71","2.88","4.8 - 4.9 s","0.4359475129691791","0.44652081699818036","5"
"article","Desktop","0","5000","3546.106673456","6775","2.422","1","1","3","1.862","0.774483932","15543","4950.0","299","31","169","2.918","15543","6568","44323","43.09","2.82","4.9 - 5.0 s","0.4358875377983658","0.44652081699818036","5"
"article","Desktop","0","5100","3615.880626801","6602","2.416","1","1","3","1.848","0.772359423","15005","5050.0","294","31","171","2.911","15005","6332","43629","43.04","2.85","5.0 - 5.1 s","0.43998667110963013","0.44652081699818036","5"
"article","Desktop","0","5200","3757.03410812","6219","2.399","1","1","3","1.848","0.772929638","14204","5150.0","286","31","176","2.899","14204","6092","40192","43.77","2.93","5.1 - 5.2 s","0.43783441284145314","0.44652081699818036","5"
"article","Desktop","0","5300","3801.188909597","5778","2.397","1","1","3","1.816","0.777330374","13453","5250.0","263","30","168","2.845","13453","5862","38320","44.44","2.8","5.2 - 5.3 s","0.42949527986322755","0.44652081699818036","5"
"article","Desktop","0","5400","3994.905376505","5624","2.357","1","1","2","1.818","0.77620679","13023","5350.0","243","30","163","2.835","13023","5605","36022","43.86","2.72","5.3 - 5.4 s","0.43185133993703445","0.44652081699818036","5"
"article","Desktop","0","5500","4033.365131874","5362","2.398","1","1","3","1.795","0.775070966","12374","5449.0","251","31","169","2.834","12374","5400","34273","44.54","2.82","5.4 - 5.5 s","0.4333279456925812","0.44652081699818036","5"
"article","Desktop","0","5600","4089.393465591","4967","2.397","1","1","3","1.821","0.776766547","11594","5550.0","248","31","172","2.848","11594","5018","32223","44.23","2.87","5.5 - 5.6 s","0.42841124719682594","0.44652081699818036","5"
"article","Desktop","0","5700","4418.385566006","4819","2.352","1","1","3","1.814","0.778698488","11253","5649.0","234","32","173","2.821","11253","4923","31112","44.68","2.88","5.6 - 5.7 s","0.4282413578601262","0.44652081699818036","5"
"article","Desktop","0","5800","4452.006444316","4592","2.312","1","1","2","1.778","0.7770322","10701","5750.0","226","33","166","2.77","10701","4682","28981","44.7","2.77","5.7 - 5.8 s","0.42911877394636017","0.44652081699818036","5"
"article","Desktop","0","5900","4412.203541971","4298","2.326","1","1","3","1.756","0.782439428","10328","5850.0","175","30","159","2.724","10328","4645","27495","45.75","2.65","5.8 - 5.9 s","0.4161502711076685","0.44652081699818036","5"
"article","Desktop","0","6000","4532.218939853","4118","2.355","1","1","2","1.801","0.780020686","9732","5950.0","201","31","158","2.798","9732","4311","26546","45.23","2.63","5.9 - 6.0 s","0.4231401561857789","0.44652081699818036","5"
"article","Desktop","0","6100","4579.667595339","3919","2.363","1","1","3","1.746","0.779942418","9327","6050.0","185","30","158","2.739","9327","4220","24940","46.16","2.63","6.0 - 6.1 s","0.42017797791358424","0.44652081699818036","5"
"article","Desktop","0","6200","4618.98052279","3825","2.318","1","1","3","1.79","0.778755387","9022","6149.0","179","31","165","2.773","9022","3994","25450","45.17","2.75","6.1 - 6.2 s","0.42396364442473955","0.44652081699818036","5"
