DEVICETYPENAME,DOM_SIZE,TTI,FREQ
Mobile,3430,3543.000,886764
Desktop,3210,3655.000,885321
Desktop,2910,3617.000,883437
Desktop,2930,3605.000,881819
Mobile,3450,3490.000,881126
Desktop,2960,3653.000,878189
Mobile,3980,2989.000,878111
Desktop,2990,3611.000,871313
Desktop,4240,4905.000,870955
Desktop,4250,4900.000,869930
Mobile,4040,2290.000,869654
Desktop,3060,3698.000,861128
Desktop,4260,4905.000,856543
Desktop,2920,3618.000,853297
Desktop,4230,4879.000,852082
Mobile,3320,3809.000,851136
Desktop,3020,3587.000,847155
Mobile,3330,3987.000,840852
Desktop,3030,3696.000,831651
Desktop,4270,4912.000,829658
Mobile,5580,3749.000,828902
Mobile,5620,4228.000,827593
Desktop,3000,3779.000,826930
Desktop,3160,3681.000,825736
Desktop,3050,3738.000,823431
Desktop,3310,3789.000,823007
Desktop,3130,3631.000,822062
Desktop,170,1260.000,820016
Desktop,3070,3723.000,819370
Desktop,3330,3828.000,818878
Desktop,3010,3856.000,818701
Mobile,3360,3800.000,818450
Mobile,3400,3539.000,815806
Mobile,4020,2740.000,815682
Desktop,4170,4880.000,814535
Desktop,4280,4916.000,813071
Desktop,3230,3684.000,811060
Desktop,4220,4831.000,809763
Desktop,3240,3697.000,809253
Desktop,3120,3653.000,808267
Mobile,3370,3706.000,806431
Mobile,3380,3663.000,804919
Desktop,3040,3789.000,803704
Desktop,3140,3769.000,802405
Desktop,3200,3725.000,800132
Desktop,3250,3736.000,797532
Desktop,3350,3891.000,794718
Desktop,4160,4874.000,793625
Mobile,3990,3017.000,793367
Desktop,3390,4473.000,789010
Desktop,3090,3615.500,788738
Desktop,3170,3757.000,787375
Desktop,4210,4845.000,787087
Desktop,4180,4809.000,786417
Desktop,3320,3765.000,785607
Desktop,3150,3772.000,783312
Desktop,4200,4866.000,783309
Desktop,4290,4938.000,783054
Desktop,3080,3724.000,780852
Mobile,5570,3660.000,773050
Desktop,3110,3717.000,771124
Desktop,3190,3741.000,767500
Mobile,4070,2466.000,767389
Desktop,4190,4843.000,762463
Desktop,3260,3707.000,759128
Desktop,4300,4898.000,758901
Mobile,5630,3769.000,757180
Mobile,3390,3607.000,756482
Desktop,3300,3821.000,756278
Desktop,3100,3734.000,755084
Mobile,50,1487.000,753816
Desktop,4090,4610.000,752842
Desktop,4080,4729.000,750885
Mobile,4000,3069.000,750745
Mobile,4010,3082.000,748407
Desktop,3180,3803.000,748177
Desktop,4310,4934.000,747811
Desktop,3370,3974.000,746472
Desktop,4320,4954.000,743787
Desktop,4140,4752.000,740034
Desktop,4120,4797.000,736724
Desktop,3270,3794.000,736375
Desktop,4150,4806.000,736373
Desktop,4130,4747.000,734918
Mobile,110,1759.000,731741
Desktop,3360,3973.000,730213
Desktop,4100,4749.000,729773
Desktop,3380,4055.000,729407
Desktop,3580,3885.000,726632
Desktop,3440,3882.000,725461
Desktop,4110,4775.000,724857
Desktop,4330,4926.000,723365
Desktop,3430,3791.000,722251
Desktop,4070,4705.000,719751
Desktop,350,1822.000,718698
Desktop,3610,3838.000,717583
Desktop,3290,3828.000,715887
Mobile,40,2046.000,715872
Desktop,3280,3836.000,714635
Desktop,3420,3972.000,708598
Mobile,5560,3607.000,707279
Desktop,3510,3764.000,705268
Desktop,3570,3927.000,700334
Desktop,4060,4649.000,698935
Desktop,3520,3746.000,697174
Desktop,3470,3840.000,697057
Desktop,380,2048.000,696863
Desktop,3590,3910.000,695334
Desktop,3450,3854.000,694006
Desktop,140,1568.000,691671
Desktop,3620,3916.000,690396
Desktop,3410,4001.000,689392
Desktop,4000,4811.000,688957
Desktop,3560,3905.000,688704
Desktop,3460,3819.000,687260
Desktop,3530,3885.000,687141
Desktop,3500,3823.000,685659
Desktop,3600,3953.000,680358
Desktop,3400,3918.000,678219
Desktop,3550,3851.000,676587
Desktop,3540,3869.000,676561
Desktop,4340,4880.000,673390
Desktop,4050,4691.000,671144
Desktop,3480,3933.000,668761
Mobile,10,3051.000,668514
Desktop,3630,3997.000,660877
Desktop,3490,3806.000,659797
Mobile,5640,3572.000,658125
Desktop,3640,4029.000,653593
Desktop,4350,4899.000,641771
Desktop,4040,4721.000,640968
Desktop,3650,4098.000,639952
Mobile,5550,3686.000,634228
Desktop,4010,4766.000,633833
Desktop,4030,4661.000,633492
Desktop,4360,4901.000,628175
Desktop,4020,4737.000,611885
Desktop,3950,4516.000,611435
Desktop,3660,4141.000,609644
Tablet,850,1917.000,608465
Desktop,3960,4595.000,608402
Desktop,4370,4972.000,607478
Mobile,5540,3783.000,607415
Desktop,3940,4581.000,605322
Desktop,3990,4717.000,604480
Mobile,100,2787.000,601930
Desktop,4380,5023.000,599848
Desktop,3970,4644.000,590600
Desktop,3930,4532.000,589735
Desktop,3670,4216.000,589699
Desktop,4390,5032.000,588635
Desktop,3980,4670.000,580604
Desktop,3690,4283.000,577455
Desktop,3700,4253.000,574914
Desktop,3880,4642.000,573725
Desktop,4400,4956.000,570391
Desktop,3870,4550.000,569558
Desktop,40,1763.000,569386
Mobile,5670,2894.000,567649
