DEVICETYPENAME,JS_SIZE,TTI,FREQ
Mobile,1560000,6011.000,7292
Mobile,1810000,9105.000,7271
Mobile,1880000,10809.000,7253
Tablet,1570000,9540.000,7211
Desktop,2380000,5757.000,7095
Mobile,1770000,8751.000,7042
Mobile,1410000,13549.000,6408
Mobile,1540000,6359.000,6363
Desktop,1560000,5319.000,6332
Mobile,2120000,14969.000,6325
Mobile,1440000,12566.000,6280
Tablet,890000,17758.000,6152
Tablet,1100000,12949.500,6152
Mobile,1820000,7521.000,6063
Tablet,1090000,12607.000,6031
Mobile,2110000,14481.000,5902
Desktop,1490000,5849.000,5872
Mobile,2860000,19429.500,5706
Tablet,950000,14313.000,5677
Tablet,960000,14587.000,5675
Desktop,1360000,6792.500,5626
Mobile,2010000,13193.000,5536
Desktop,1540000,5562.000,5379
Tablet,920000,18785.000,5307
Mobile,1360000,13253.000,5167
Desktop,2740000,15046.000,5135
Mobile,1380000,11245.000,5106
Desktop,2390000,5686.000,4946
Mobile,2030000,12853.000,4888
Desktop,1750000,5587.000,4845
Tablet,910000,20933.000,4764
Desktop,1800000,6855.000,4760
Desktop,1930000,6897.000,4756
Mobile,1870000,10686.500,4734
Desktop,4440000,6599.500,4710
Tablet,980000,15513.000,4673
Mobile,1760000,8525.000,4632
Desktop,2750000,11605.000,4622
Mobile,2020000,12057.000,4571
Tablet,930000,19792.500,4518
Mobile,1720000,10683.000,4489
Desktop,1510000,5491.000,4411
Mobile,2050000,13033.000,4392
Tablet,990000,17538.000,4385
Mobile,2870000,20903.500,4358
Desktop,2530000,5206.000,4348
Desktop,1990000,9215.000,4315
Tablet,1060000,16479.000,4267
Mobile,1370000,10163.500,4262
Desktop,1820000,6279.500,4246
Desktop,1500000,5856.000,4172
Mobile,2750000,19147.500,4128
Mobile,2040000,11302.000,4116
Desktop,2120000,6035.000,4091
Mobile,1800000,8788.000,4077
Desktop,2550000,11233.000,4052
Tablet,1000000,21767.500,4050
Desktop,2000000,8887.000,3930
Mobile,1750000,11605.000,3845
Desktop,2090000,5516.000,3805
Mobile,1450000,7900.500,3658
Mobile,2130000,15984.000,3655
Desktop,1810000,6982.000,3649
Tablet,970000,17003.000,3639
Mobile,1610000,4415.500,3622
Mobile,2100000,13533.500,3616
Mobile,1390000,10209.000,3588
Desktop,2020000,8429.000,3575
Desktop,2410000,6438.000,3517
Desktop,2720000,6931.000,3439
Desktop,1640000,5765.000,3435
Desktop,2010000,6230.500,3434
Desktop,1610000,5617.000,3383
Desktop,1580000,5091.000,3359
