TTI,IMAGES,FREQ
2916,67.179681,55760
3056,68.353503,55759
2883,67.272356,55758
3073,68.256174,55755
3410,68.464280,55753
3474,69.430926,55752
2972,68.262019,55744
3442,68.203617,55742
3425,68.806821,55741
2914,67.981091,55740
3490,68.844579,55739
3343,69.328388,55739
3445,68.709990,55736
3526,68.586185,55735
3471,68.360612,55733
3457,68.117993,55732
3138,68.777168,55728
3376,68.371178,55728
3024,69.069143,55725
3443,68.781337,55725
3433,68.832173,55724
2908,68.024803,55718
2924,68.640271,55717
3400,68.558270,55715
3530,69.187350,55714
2989,68.219809,55712
3618,68.029868,55712
3567,68.800883,55711
3599,68.419211,55707
3444,69.065811,55705
3477,68.341184,55703
3078,69.890576,55701
2957,68.735274,55699
3217,69.527039,55698
2921,67.933253,55688
3446,68.665158,55686
3582,68.180081,55686
2928,68.061344,55686
3527,69.485265,55685
3489,69.132302,55683
3342,69.098272,55682
2931,69.002909,55680
3535,69.248047,55679
3601,69.356634,55679
3123,67.932415,55678
3534,67.637288,55675
3523,69.600190,55674
2993,67.972734,55674
3148,68.684419,55672
2987,68.422464,55671
3507,68.571575,55669
2958,67.703893,55669
2865,67.946559,55669
3319,68.956025,55668
3562,68.298358,55668
3385,68.279303,55660
2948,67.695862,55659
3025,68.954867,55658
2825,68.203446,55656
2881,68.271625,55654
2975,68.338215,55654
2922,67.578729,55653
3484,67.834618,55653
3540,68.412330,55652
3467,69.309015,55651
2965,68.635776,55647
3517,69.526048,55647
3437,68.609826,55647
2970,68.797279,55643
2895,67.453822,55643
2505,69.828619,55642
2929,67.770009,55637
2949,68.098619,55628
2909,67.870926,55627
3552,68.501609,55627
3002,67.347655,55627
3439,69.259398,55625
2813,67.690477,55621
3492,68.438989,55621
2959,67.530295,55620
3624,68.976860,55617
3568,67.909931,55613
2919,67.866072,55612
2872,67.899372,55611
3438,68.271359,55609
3539,68.614736,55606
3039,69.175341,55606
3546,69.012697,55605
3273,68.343404,55605
3585,69.423926,55604
2891,68.735680,55603
2887,66.911548,55601
2870,67.844491,55598
3515,68.955915,55597
3588,69.434317,55593
2877,67.444013,55593
3226,68.413685,55593
2912,68.173553,55591
2902,68.082804,55589
3421,68.230724,55586
3636,69.375227,55585
2938,67.613727,55585
2942,67.632340,55584
3586,68.395581,55584
3514,67.863951,55583
3422,68.047713,55582
3479,69.073106,55577
2879,67.489581,55574
2915,67.979091,55574
2956,67.991398,55571
2986,67.853767,55569
3478,67.889579,55569
3532,67.927584,55568
3594,68.368827,55568
3720,68.588533,55567
3699,68.433194,55564
3633,67.866892,55564
3553,68.520022,55563
2899,67.502781,55561
2850,68.197682,55559
3453,68.777028,55554
2946,68.456583,55554
3476,68.111873,55554
2880,67.901253,55546
3512,68.999064,55543
2897,68.209931,55542
3005,68.211822,55542
2944,68.691208,55539
2907,68.099105,55537
3441,68.810879,55536
3520,68.551580,55535
2952,68.842466,55531
3584,68.383432,55530
3600,68.521835,55529
3570,68.682317,55527
2961,68.565267,55526
3396,69.105144,55524
3616,68.369894,55524
2983,68.372195,55522
2966,67.853947,55521
2935,68.674773,55515
2875,68.155387,55513
2878,67.359069,55513
3440,69.275770,55510
3556,68.964349,55510
3596,69.016069,55510
3482,68.263115,55508
3456,69.516124,55508
2936,69.279064,55507
3126,68.577119,55505
3537,68.278093,55503
2941,69.215538,55503
2903,67.816414,55500
3627,68.873975,55497
2934,68.638436,55495
3519,68.081973,55494
2846,67.736638,55494
3670,68.864158,55491
2809,67.070861,55489
3464,69.561553,55489
2829,68.107180,55486
2801,67.165976,55484
2866,68.244782,55482
3565,68.547532,55478
3590,69.248752,55473
2913,67.562023,55471
2893,68.017144,55470
2939,67.229628,55468
3632,68.640651,55467
2889,67.806606,55467
2994,67.288478,55467
3470,67.934565,55460
3650,68.155075,55457
3648,68.316581,55455
3529,68.368666,55454
2917,69.227161,55454
2937,69.156941,55454
2932,68.278998,55452
3610,69.550530,55452
2886,67.345177,55444
3505,67.802067,55443
2969,69.047817,55440
3589,69.540002,55435
3508,68.585020,55434
2836,67.785399,55433
2923,68.821616,55431
3395,68.208545,55427
2980,67.745846,55427
3554,68.621802,55426
2834,67.654849,55425
3658,69.721384,55424
2884,68.163936,55424
2816,67.761648,55418
3536,68.503059,55417
2803,68.362188,55416
3660,69.321965,55416
3593,68.463340,55415
3560,68.980276,55415
3652,69.076787,55413
3563,69.413925,55411
3544,68.606858,55410
3510,69.137675,55406
3480,68.976952,55405
3491,68.220814,55404
3459,69.259065,55403
2794,67.654248,55401
3606,68.707679,55398
2867,67.577569,55396
2835,68.455015,55396
3614,69.237368,55395
2873,68.702853,55390
2998,67.963820,55390
3506,69.171993,55386
3558,68.529070,55384
3694,68.720830,55382
3531,68.551128,55381
3495,67.956537,55381
3566,68.778775,55378
2782,67.747206,55377
2885,67.444450,55374
3630,68.798205,55373
2818,67.056211,55363
3638,68.800224,55362
3538,69.179212,55359
2997,68.844485,55358
3559,69.638673,55357
2910,68.942769,55355
3542,68.165697,55354
3511,69.294438,55353
3712,68.761500,55350
3613,68.704042,55349
3576,69.076225,55349
3611,69.281592,55346
3572,69.004300,55343
3555,69.007896,55342
2868,67.489484,55342
2945,68.521015,55342
2904,68.222861,55335
3641,69.100177,55332
2890,68.255837,55332
3609,67.803296,55332
3579,69.597524,55330
3626,68.708714,55327
3597,68.610913,55327
3683,69.535454,55325
3645,68.174882,55323
2802,67.464933,55322
2854,67.677524,55322
3629,69.296989,55322
3619,69.684991,55319
3547,69.270454,55318
2841,67.511841,55316
2926,68.914197,55313
2876,69.156838,55312
2898,67.992749,55306
3698,68.740670,55304
2896,67.651797,55304
3615,68.977974,55299
3587,68.553239,55298
2833,68.184952,55290
3583,69.263009,55287
2862,68.299448,55285
3649,69.409808,55282
3664,68.620962,55282
3666,68.954072,55282
2906,68.249285,55282
3504,68.477731,55278
3800,69.340733,55272
2874,68.137036,55270
2795,67.885144,55269
2848,69.047104,55261
3607,69.275070,55255
2840,68.142469,55254
3545,68.825967,55254
3672,68.688060,55251
3710,68.940450,55248
2815,67.350989,55241
3681,68.800192,55238
3640,68.582227,55231
2863,67.707659,55230
2828,67.907242,55230
3522,69.489145,55227
2730,67.769611,55224
3513,68.422433,55223
3631,68.417925,55218
2856,67.658571,55215
2857,67.471194,55215
2812,66.704767,55214
3458,68.729878,55212
2827,68.342637,55210
2847,66.981921,55201
2780,67.581369,55199
3581,68.588024,55195
2892,67.776491,55188
3580,69.008861,55187
3678,68.263273,55186
3646,69.559818,55184
3603,68.003915,55178
2927,68.395161,55175
3595,68.936556,55167
3549,68.936230,55167
3746,68.363346,55165
3667,68.612114,55158
3749,68.236457,55156
3602,68.566430,55156
3561,68.329465,55150
3656,67.794850,55150
3675,68.239864,55148
3669,69.602970,55147
3642,69.520935,55147
2853,67.621106,55142
2861,66.899496,55142
2814,67.288663,55137
2798,67.267240,55134
2905,67.669823,55134
2810,68.417395,55130
2821,68.746898,55128
2823,68.238626,55128
3598,69.727207,55126
2779,67.110698,55123
2858,67.767267,55119
2849,67.915926,55118
