DEVICETYPENAME,LAST_FONT_TIME,TTI,FREQ
Desktop,17600,19814.000,165
Tablet,8600,12309.000,165
Mobile,17400,21592.000,163
Desktop,18400,21250.500,158
Desktop,18200,20754.000,157
Desktop,18800,21940.000,157
Desktop,18100,21270.500,156
Mobile,17100,20379.500,156
Mobile,19000,22916.500,156
Desktop,19700,22405.500,156
Desktop,18000,20738.000,155
Mobile,19500,23769.000,155
Mobile,18700,22292.000,155
Desktop,19600,21486.500,154
Tablet,8900,13407.500,154
Mobile,18900,22082.000,153
Desktop,17900,20895.000,152
Desktop,18300,21383.000,152
Desktop,19200,22249.000,151
Mobile,19600,23630.000,150
Desktop,17800,20675.000,149
Desktop,19500,21588.000,149
Mobile,19300,22786.500,148
Tablet,8800,12576.000,147
Desktop,18600,20536.000,147
Mobile,19900,23021.000,145
Mobile,19200,22386.000,144
Desktop,18900,20993.000,144
Mobile,19400,23331.000,142
Desktop,19900,22687.500,142
Desktop,20100,22667.500,142
Mobile,20100,23950.000,141
Desktop,19300,21430.000,140
Desktop,19400,21150.000,139
Tablet,9200,13157.000,139
Mobile,18600,22545.500,138
Desktop,19100,21841.000,135
Mobile,19800,22870.000,135
Desktop,20600,23003.000,132
Mobile,19700,22179.500,132
Desktop,21000,23590.500,132
Desktop,20000,22036.000,130
Desktop,20700,22900.000,129
Desktop,20500,24309.000,127
Tablet,9600,12862.000,127
Desktop,19000,21690.500,126
Tablet,9100,14029.000,125
Tablet,9500,13497.500,124
Desktop,18700,21152.000,123
Tablet,9800,13439.000,123
Desktop,20300,23573.000,123
Desktop,20200,22798.000,123
Mobile,20400,24802.000,123
Desktop,21100,24238.000,121
Desktop,20800,23666.000,121
Mobile,20800,23522.000,121
Desktop,22300,25073.000,120
Mobile,21000,23420.500,120
Tablet,10000,14722.000,118
Mobile,20600,23687.000,118
Mobile,21100,24749.000,118
Tablet,9300,13521.000,117
Tablet,9400,13192.500,116
Desktop,20900,22038.000,113
Mobile,22500,26299.500,112
Mobile,20700,23622.500,112
Tablet,9700,13998.500,112
Mobile,20000,22937.500,112
Mobile,21400,25957.000,112
Mobile,20300,24335.500,110
Mobile,21300,24274.000,110
Desktop,21500,23482.000,110
Mobile,21200,25227.000,109
Mobile,20200,23401.000,109
Mobile,21500,24717.000,109
Tablet,10200,14248.000,109
Desktop,21300,24331.000,108
Desktop,24000,26833.000,107
Desktop,22100,24080.000,106
Desktop,19800,22330.000,106
Mobile,22100,24756.000,105
Tablet,10100,14050.000,105
Mobile,22300,25045.500,104
Desktop,22900,25382.500,104
Desktop,21200,22526.500,104
Tablet,10300,16350.000,103
Mobile,22200,25972.000,103
Desktop,20400,22701.000,103
Mobile,20500,23214.000,103
Desktop,21400,23321.000,103
Desktop,21800,23427.000,101
Desktop,23900,25644.000,100
Desktop,23800,25343.000,99
Desktop,22600,25328.000,99
Desktop,21600,23992.000,99
Mobile,21600,24309.000,99
Desktop,22200,25242.500,98
Mobile,21700,24569.500,98
Mobile,20900,23592.500,98
Mobile,22000,25489.000,98
Tablet,11200,14342.000,97
Tablet,10600,14329.000,97
Mobile,21800,24780.000,97
Mobile,22600,24800.500,96
Tablet,9900,15068.500,96
Desktop,24200,26787.000,95
Tablet,10400,15186.000,95
Desktop,22400,24739.000,95
Desktop,22000,23867.000,95
Desktop,22800,26302.000,95
Mobile,21900,26600.500,94
Desktop,23600,26047.000,93
Desktop,24600,26832.000,93
Desktop,24300,25778.000,92
Mobile,22800,25003.000,92
Desktop,21700,24498.000,91
Desktop,22500,24395.000,90
Mobile,22400,25592.000,90
Desktop,21900,23931.000,89
Desktop,22700,24378.000,89
Tablet,10800,14627.000,88
Mobile,22700,25797.000,88
Tablet,11100,14527.000,88
Tablet,10900,14439.000,87
Desktop,24100,26690.000,87
Desktop,23700,25660.000,87
Desktop,23400,26396.000,87
Tablet,11400,15002.000,87
Mobile,23600,27898.000,87
Desktop,23200,26164.000,87
Tablet,10700,13180.000,87
Desktop,23300,26244.000,86
Desktop,23000,25464.500,86
Mobile,23300,27717.000,85
Mobile,23400,25179.000,85
Tablet,11000,15572.500,84
Mobile,23200,26883.000,84
Mobile,22900,25075.000,84
Tablet,10500,13893.000,84
Mobile,23800,26523.500,84
Desktop,23500,25839.000,83
