DEVICETYPENAME,IMAGES,TTI,FREQ
Mobile,211,4889.000,151268
Mobile,574,4263.000,151152
Desktop,522,5166.000,151049
Desktop,514,6480.500,150692
Desktop,509,5702.000,149677
Tablet,119,4978.000,149622
Desktop,521,4734.000,149349
Mobile,210,4724.000,149121
Mobile,232,4663.000,149024
Tablet,116,5383.000,148555
Desktop,432,5854.000,148531
Tablet,118,5211.000,148503
Desktop,436,5764.000,148347
Mobile,225,4325.000,147713
Desktop,433,5754.000,147013
Desktop,575,5456.000,146343
Desktop,337,4912.000,145411
Mobile,228,4234.000,145389
Mobile,530,4019.500,145310
Desktop,309,4726.000,144780
Mobile,483,5012.000,144625
Desktop,342,5056.000,144503
Desktop,511,6065.000,144493
Desktop,519,6629.000,144258
Desktop,434,5890.000,144183
Desktop,350,4583.000,143673
Desktop,338,5056.000,143329
Desktop,325,4364.000,143069
Tablet,111,5212.000,141991
Mobile,224,3883.000,141943
Desktop,299,4423.000,141865
Desktop,526,5098.000,141864
Tablet,158,4396.000,141116
Desktop,508,6012.000,141087
Desktop,321,4789.000,140999
Desktop,518,6161.000,140802
Tablet,125,5521.000,140697
Desktop,431,5479.000,140056
Desktop,339,5169.500,139994
Desktop,332,4971.000,139748
Desktop,291,4320.000,139510
Tablet,460,8435.000,139315
Desktop,513,7218.000,139218
Desktop,324,4712.000,139206
Desktop,303,5077.000,139069
Mobile,279,4225.000,138881
Mobile,214,4666.000,138853
Mobile,477,3258.000,138296
Desktop,540,4933.000,138212
Desktop,334,5213.000,138051
Mobile,556,3771.000,138044
Tablet,115,5148.000,137991
Mobile,491,3915.000,137449
Mobile,285,3947.000,136952
Tablet,117,5187.000,136742
Desktop,516,5962.000,136479
Desktop,333,5057.000,135701
Desktop,306,4560.000,135582
Desktop,335,5057.000,135427
Desktop,510,6249.500,135364
Mobile,507,4444.000,135198
Desktop,320,4672.000,134067
Desktop,310,4927.000,133994
Desktop,525,5567.000,133914
Mobile,546,4052.000,133884
Desktop,318,4445.000,133042
Tablet,112,5031.000,132898
Desktop,539,4987.000,132591
Desktop,363,4778.000,131250
Desktop,349,4810.000,131202
Desktop,340,5031.000,130597
